# receiveTime,participant,controller,item,element,type,group,question,answer,GO,COME,MOTION,BRING,TAKE,HERE,MOOD,TENSE,SUBJECT,DEST
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,14,0,train-good,NULL,response,lagging a little behind%0A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,17,0,train-bad,NULL,response,talking on her phone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,19,0,train-third,NULL,response,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,23,0,item-left,1,response,lavendar.%0A,0,0,0,0,0,0,1,2,base,none
15537837801553783780,53c585979c819b271698c66b4140e847,ComicProduction,49,0,item-speaker-beach_house,7,response,leaving the beach.,0,0,1,0,0,0,1,0,base,left
,53c585979c819b271698c66b4140e847,SpatialProduction,28,0,item-between,2,response,garbage can.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,33,0,item-close,3,response,flowers.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,295,0,filler-false-pizza_school-ThelmaandI,NULL,response,are talking on the phone.,0,0,0,0,0,0,1,0,base,none
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,38,0,item-between,4,response,plate of cheese.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,39,0,item-both-clothing-amusement,5,response,shopping.,0,0,0,0,0,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,296,0,filler-false-school_bookstore-Youare,NULL,response,at the book store.,1,0,0,0,0,0,1,2,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,44,0,item-none-amuse_bank,6,response,going to the bank.,0,0,0,0,0,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,297,0,filler-false-beach_house-Youare,NULL,response,wondering about this picture.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,54,0,item-listener-market_bookstore,8,response,walking to the book store.,0,0,1,0,0,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,55,0,item-both-farm_hotel,9,response,not with us today.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,298,0,filler-true-amuse_house-Thelmais,NULL,response,playing with the puppy.,0,0,0,0,0,0,1,0,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,60,0,item-none-movie_subway,10,response,going to the train station.,1,0,0,0,0,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,65,0,item-speaker-pet_pizza,11,response,leaving the pet store where she dropped the dog off at.,0,0,1,0,0,0,1,0,base,left
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,299,0,filler-false-cafe_farm-Weare,NULL,response,drinking coffee.,0,0,0,0,0,0,1,0,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,70,0,item-listener-subway_theater,12,response,leaving the train station.,0,0,1,0,0,0,1,0,base,left
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,71,0,item-both-zoo_coffee,13,response,at the zoo.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,76,0,item-none-bank_beach,14,response,dreaming of the beach%2C like we should be.,0,0,0,0,0,0,1,2,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,300,0,filler-true-museum_zoo-Thelma,NULL,response,where are you and why is your hair green?  Aliens?,0,0,0,0,0,1,2,2,you,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,81,0,item-speaker-church_clothing,15,response,going to church.,1,0,0,0,0,0,1,0,base,left
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,86,0,item-listener-hotel_pizza,16,response,leaving the hotel because she smelled pizza. yum.,0,0,1,0,0,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,301,0,filler-false-move_zoo-Abus,NULL,response,will take me to the movies.,0,0,0,0,1,0,1,1,base,left
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,87,0,item-close,17,response,orange,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,92,0,item-left,18,response,books about UFOs.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,302,0,filler-false-park_cafe-Youare,NULL,response,playing with an owl and a ball.,0,0,0,0,0,0,1,0,base,none
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,97,0,item-close,19,response,purple.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,SpatialProduction,102,0,item-close,20,response,not a legitimate piece of art.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,303,0,filler-true-house_school-Thelmais,NULL,response,taking cookies to school. yum.,0,0,0,0,1,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,103,0,item-both-museum_church,21,response,at the art museum,0,0,0,0,0,0,1,2,base,left
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,108,0,item-none-school_bookstore,22,response,heading to the book store to take back the books she bought.,0,0,0,0,1,0,1,0,base,right
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,304,0,filler-false-subway_church-Afiretruck,NULL,response,was called by thelma anonymously.,0,0,0,0,0,0,1,-1,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,113,0,item-speaker-museum_zoo,23,response,in trouble for calling that fire truck.,0,0,0,0,0,0,1,2,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,118,0,item-listener-bookstore_church,24,response,stealing books again.,0,0,0,0,0,0,1,0,base,none
1553783780,53c585979c819b271698c66b4140e847,ComicProduction,119,0,item-both-clothing_pet,25,response,changing her criminal activity to clothes.,0,0,0,0,0,0,1,0,base,none
